Circuit breaker Open/Close Status, Disconnector Open/Close Status, Earth switch Open/Close Status, Protection system healthy (Trip circuit healthy), Control level - Local or remote, Protection tripped, Circuit breaker mechanical failure, transformer mechanical failure (over temp), Transformer mechanical failure (over pressure), Tap changer mechanical failure, Auxiliary power failure, Current Line 'L1', Current Line 'L2', Current Line 'L3', Voltage Phase 'L1-N', Voltage Phase 'L2-N', Voltage Phase 'L3-N', Active Power, Reactive power, Frequency, Power Factor
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,150,149,157,38115,38111,38091,14999572,9250853,49.95,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,150,153,151,38114,38101,38103,15000170,9249482,50.01,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,154,150,158,38111,38091,38119,14999024,9249392,49.96,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,150,157,150,38104,38114,38120,15000347,9250871,50.04,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,157,156,153,38094,38100,38094,15000700,9250741,50.04,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,154,154,151,38110,38113,38120,15000150,9250831,49.98,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,158,154,159,38095,38108,38115,14999454,9249392,50.02,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,159,159,157,38098,38100,38107,15000607,9249025,49.96,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,151,150,153,38113,38106,38095,15000554,9249972,50.02,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,152,151,155,38118,38119,38118,15000391,9250249,49.95,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,158,154,151,38107,38101,38097,15000971,9249020,49.96,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,149,158,159,38116,38104,38110,15000433,9249156,50.04,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,158,159,153,38110,38108,38120,15000934,9249605,50,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,159,153,154,38099,38117,38108,14999124,9249994,49.96,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,156,151,159,38113,38109,38118,14999736,9249875,50.03,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,149,157,158,38102,38102,38105,14999179,9249483,49.95,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,158,149,158,38091,38091,38109,14999791,9249111,50.01,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,159,151,157,38090,38116,38108,14999438,9250421,50,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,153,159,149,38101,38119,38103,14999940,9249011,49.96,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,156,153,152,38105,38108,38097,15000176,9249313,50,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,153,154,149,38097,38094,38094,15000490,9250692,50,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,157,152,158,38091,38107,38105,15000536,9249176,49.98,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,151,159,149,38108,38095,38105,14999637,9250027,50.02,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,152,153,154,38099,38114,38117,15000515,9250412,50.03,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,157,151,151,38102,38095,38111,15000160,9250352,50,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,149,152,152,38109,38117,38115,14999723,9249445,50.01,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,150,149,150,38094,38099,38111,15000714,9250360,49.96,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,153,149,153,38094,38103,38115,14999530,9249375,49.99,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,153,153,149,38120,38094,38120,14999910,9250048,50.03,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,159,152,159,38100,38092,38096,15000506,9250598,50.01,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,159,150,157,38104,38099,38098,14999702,9250592,49.98,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,152,156,153,38093,38097,38106,15000034,9249104,50.02,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,159,156,155,38113,38097,38102,15000058,9250044,50.01,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,154,156,159,38115,38099,38094,15000490,9249894,50.02,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,152,158,155,38096,38118,38104,14999402,9250698,50.05,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,152,151,154,38114,38091,38111,15000213,9249743,50.01,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,158,150,159,38120,38112,38093,14999873,9249422,49.95,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,151,157,151,38092,38100,38095,14999477,9250907,49.99,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,155,158,157,38114,38111,38109,14999847,9250548,49.98,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,149,154,156,38108,38102,38119,14999002,9249140,50.03,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,155,156,157,38103,38110,38105,15000347,9250231,50.04,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,158,156,156,38106,38096,38092,15000984,9249978,50.03,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,155,153,156,38116,38090,38108,14999193,9250929,49.97,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,152,155,154,38110,38098,38116,14999175,9250759,50.05,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,149,154,152,38101,38104,38110,14999398,9250354,49.97,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,150,149,150,38091,38098,38112,14999158,9249101,50.03,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,156,151,159,38094,38114,38095,15000519,9249889,50,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,156,149,150,38108,38099,38094,15000010,9250208,49.97,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,150,159,149,38110,38091,38116,15000444,9250368,50.02,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,150,152,154,38118,38096,38093,14999479,9249049,49.99,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,154,152,159,38097,38101,38099,14999396,9250265,49.95,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,157,156,152,38116,38103,38119,14999185,9249931,50.01,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,156,153,152,38110,38095,38106,14999748,9249543,50,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,151,157,152,38103,38106,38117,14999842,9250220,49.96,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,156,156,154,38102,38110,38099,14999840,9249663,49.99,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,149,152,157,38091,38114,38097,14999341,9250955,50.01,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,150,154,154,38094,38111,38099,14999968,9250337,50.01,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,153,153,154,38110,38098,38095,15000658,9249335,50.05,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,158,159,150,38100,38118,38109,14999974,9250837,49.99,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,159,158,149,38099,38119,38104,15000218,9250946,50.02,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,154,158,154,38103,38091,38108,15000747,9250632,49.98,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,149,153,150,38114,38112,38112,14999860,9249114,50.01,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,151,151,155,38090,38120,38101,15000641,9250977,50.05,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,149,157,152,38103,38097,38120,15000688,9250630,49.96,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,153,152,158,38112,38108,38102,15000794,9250343,49.95,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,157,157,157,38109,38110,38110,14999856,9250618,49.97,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,155,153,152,38120,38113,38104,15000315,9249164,50.04,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,154,158,151,38099,38103,38095,14999218,9249255,50.03,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,150,151,153,38098,38113,38100,15000268,9250068,49.98,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,152,159,158,38093,38114,38116,15000150,9249393,50.05,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,150,149,150,38091,38116,38109,15000175,9249268,50,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,156,150,158,38092,38094,38099,15000201,9250826,50.02,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,153,158,155,38103,38110,38103,15000029,9249967,49.95,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,157,150,154,38119,38113,38117,14999508,9250326,49.96,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,154,155,152,38112,38094,38092,14999784,9249393,50,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,157,149,157,38108,38094,38105,15000001,9249097,50.04,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,157,154,154,38096,38110,38109,15000894,9249218,49.97,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,152,155,150,38113,38102,38103,15000947,9249911,50.01,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,159,152,158,38091,38120,38090,14999685,9249621,49.97,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,149,149,151,38101,38120,38107,14999601,9250601,50.02,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,149,150,155,38094,38099,38102,14999744,9250316,49.95,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,149,153,151,38109,38093,38106,15000857,9250965,49.99,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,157,154,154,38094,38098,38108,15000098,9250204,50.05,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,156,151,152,38097,38092,38091,14999441,9249436,50.02,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,156,154,152,38102,38120,38091,15000024,9249069,49.97,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,152,151,152,38094,38108,38108,15000221,9250924,49.97,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,154,156,151,38102,38108,38116,14999865,9250946,49.95,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,157,149,158,38093,38114,38111,15000565,9249845,50.03,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,159,156,149,38113,38106,38105,14999639,9250719,49.96,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,157,149,151,38099,38119,38112,15000337,9250811,50.02,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,152,155,149,38117,38110,38092,14999737,9249656,49.98,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,152,156,154,38120,38092,38109,15000432,9250795,50.02,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,157,150,156,38106,38119,38114,15000065,9250956,50,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,152,156,149,38101,38099,38094,15000091,9250995,49.96,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,150,156,149,38114,38096,38092,14999067,9249396,49.95,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,156,156,159,38117,38105,38108,15000931,9250023,50.05,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,157,155,155,38120,38100,38099,15000115,9250291,49.95,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,151,153,153,38094,38104,38092,14999261,9250283,50.05,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,157,154,151,38103,38120,38115,15000500,9249679,49.96,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,152,155,149,38115,38091,38109,14999454,9250786,49.96,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,158,155,159,38103,38098,38107,15001000,9250303,49.97,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,158,154,158,38118,38096,38098,15000881,9250752,49.98,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,158,157,152,38110,38091,38101,14999913,9250152,49.96,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,155,150,151,38118,38108,38090,15000274,9250630,49.97,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,150,158,155,38101,38096,38116,15000898,9249810,50.01,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,158,150,152,38096,38103,38109,15000360,9250659,50.03,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,157,154,159,38092,38115,38107,14999897,9250547,49.99,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,158,155,153,38101,38118,38100,15000277,9249448,50.05,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,159,157,155,38095,38114,38114,15000137,9249225,50.05,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,152,152,150,38117,38116,38094,15000585,9249218,49.96,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,152,152,159,38098,38105,38105,14999640,9250014,50,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,159,159,159,38098,38108,38114,15000240,9249098,49.98,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,151,156,158,38092,38106,38099,15000105,9250705,50.01,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,149,155,150,38106,38115,38112,14999743,9249324,50.01,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,150,153,158,38110,38108,38116,14999334,9249580,50.02,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,157,149,151,38111,38106,38119,15000701,9250450,49.95,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,157,157,157,38090,38117,38112,14999529,9249644,49.97,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,152,151,155,38100,38114,38113,15000885,9249296,49.97,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,154,157,159,38115,38116,38097,14999334,9250187,49.95,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,156,158,156,38091,38114,38092,14999980,9249394,50.03,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,151,152,153,38095,38100,38117,15000233,9249937,49.98,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,157,151,159,38098,38091,38093,15000267,9250350,50.03,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,156,158,152,38115,38109,38090,14999472,9249572,50.02,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,153,157,158,38106,38091,38112,15000972,9249753,49.95,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,150,152,156,38093,38105,38116,15000523,9249652,49.95,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,159,151,156,38116,38111,38111,14999434,9249491,49.96,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,152,157,159,38115,38092,38109,15000261,9249331,50.04,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,158,157,149,38109,38091,38093,15000959,9250745,50.04,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,156,159,149,38104,38116,38090,15000621,9250355,50,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,151,152,156,38118,38103,38109,14999949,9249458,49.97,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,150,157,151,38092,38090,38104,14999358,9250190,49.96,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,151,154,157,38102,38104,38093,15000515,9250925,49.97,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,155,156,155,38091,38113,38112,14999216,9250075,49.98,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,157,149,157,38096,38103,38098,14999171,9249053,49.98,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,154,157,156,38096,38106,38097,15000118,9249003,49.95,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,159,155,152,38106,38113,38093,14999893,9250294,50.01,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,152,155,158,38101,38107,38111,14999736,9250963,50.01,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,156,151,154,38101,38090,38120,14999200,9249324,50.04,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,149,151,158,38100,38109,38090,15000158,9249964,49.99,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,159,150,149,38113,38117,38090,15000561,9249214,49.97,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,159,158,149,38105,38110,38098,14999089,9249915,50.04,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,158,152,158,38120,38109,38108,14999601,9250156,50.03,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,153,151,156,38104,38119,38113,14999527,9249787,49.95,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,151,151,159,38093,38101,38103,14999350,9250642,50.05,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,153,150,155,38090,38118,38105,15000729,9250892,50.05,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,156,154,155,38096,38120,38093,15000720,9250846,49.96,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,154,152,155,38097,38098,38119,15000125,9249202,50.01,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,152,153,154,38103,38109,38105,14999925,9249833,50.03,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,150,152,151,38118,38106,38113,14999383,9250204,50.04,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,150,152,153,38108,38105,38108,14999764,9250094,49.97,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,149,156,151,38103,38109,38103,14999565,9250411,50.01,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,150,152,151,38096,38107,38095,14999865,9250258,49.97,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,154,151,157,38092,38097,38108,14999745,9249569,50.02,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,157,159,154,38107,38115,38103,15000657,9250803,49.97,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,149,151,157,38114,38119,38096,15000614,9249691,50,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,159,154,157,38090,38107,38090,15000121,9250220,50,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,154,154,152,38100,38110,38105,15000744,9250013,49.97,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,155,152,154,38090,38094,38102,15000159,9250795,50.02,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,156,157,154,38117,38111,38092,15000126,9249278,49.98,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,155,157,150,38094,38113,38094,15000898,9249097,49.98,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,158,156,152,38103,38096,38113,15000893,9250230,50.03,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,157,150,159,38107,38094,38096,15000791,9249971,50.03,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,150,153,156,38102,38114,38112,15000388,9250291,49.96,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,154,152,157,38101,38107,38099,15000892,9250015,50.03,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,156,153,153,38118,38114,38118,15001000,9249211,50.02,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,151,153,159,38109,38091,38105,15000575,9250114,49.97,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,151,157,154,38111,38107,38107,14999261,9250490,49.95,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,153,156,157,38113,38098,38111,15000781,9249197,50.01,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,154,151,156,38120,38118,38091,15000691,9250609,50,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,152,151,159,38112,38105,38111,15000888,9250167,50.04,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,153,159,157,38103,38092,38107,15000954,9250048,50.04,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,149,149,153,38108,38110,38119,14999086,9249331,50.03,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,154,156,149,38100,38115,38091,15000916,9249185,50.02,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,149,157,157,38114,38108,38092,14999920,9249686,50.01,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,155,151,154,38096,38114,38109,14999214,9250787,49.98,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,152,154,149,38103,38109,38096,14999887,9250132,49.97,0.87
